ORI9,TYPE,BJS_AGENCYNAME,CITY,STATENAME,STATECODE,POP2012,FTSWORN,FTCIV,PERS_PDSW_MFT,PERS_FTS_WHT,PAY_SAL_EXC_MIN,PAY_SAL_EXC_MAX,PAY_SAL_SGT_MIN,PAY_SAL_SGT_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_OFCR_MAX,PAY_BARG,BDGT_TTL
FL0170100,1,PENSACOLA POLICE DEPT                                                                               ,Pensacola                               ,Florida             ,FL,52340,146,54,123,121,63627,139963,56956,73652,32968,61859,(1) Yes,18240000
FL0620100,1,PERRY POLICE DEPT                                                                                   ,Perry                                   ,Florida             ,FL,7003,22,2,20,20,55000,65000,40000,50000,37000,45000,(2) No,2252729
FL0139200,1,PINECREST POLICE DEPT                                                                               ,Pinecrest                               ,Florida             ,FL,18887,48,18,40,14,125000,125000,73000,73000,52000,52000,(1) Yes,7.00E+06
FL0520000,2,PINELLAS COUNTY SHERIFFS OFFICE                                                                     ,Largo                                   ,Florida             ,FL,921319,841,927,739,739,140000,156101,62285,77742,41284,67143,(1) Yes,212820410
FL0290100,1,PLANT CITY POLICE DEPT                                                                              ,Plant City                              ,Florida             ,FL,35903,66,18,58,50,71572,107369,67813,67813,42915,64668,(1) Yes,1.00E+07
FL0060600,1,PLANTATION POLICE DEPT                                                                              ,Plantation                              ,Florida             ,FL,88016,167,83,146,144,88368,147938,66443,91654,54968,80306,(1) Yes,35360806
FL0530000,2,POLK COUNTY SHERIFFS OFFICE                                                                         ,Winter Haven                            ,Florida             ,FL,616158,635,988,527,561,98113,149402,56941,63132,33316,54317,(1) Yes,128234266
FL0641400,1,PONCE INLET POLICE DEPT                                                                             ,Ponce Inlet                             ,Florida             ,FL,3045,11,4,9,10,56312,84468,38468,57702,32980,49470,(1) Yes,1300000
FL0560200,1,PORT ST. LUCIE POLICE DEPT                                                                          ,Port Saint Lucie                        ,Florida             ,FL,168716,219,61,191,172,123600,123600,65810,77810,42599,66000,(1) Yes,35946511
FL0080200,1,PUNTA GORDA POLICE DEPT                                                                             ,Punta Gorda                             ,Florida             ,FL,16869,32,15,27,29,69328,103992,56527,84791,40000,59000,(1) Yes,5051300
FL0540000,2,PUTNAM COUNTY SHERIFFS OFFICE                                                                       ,Palatka                                 ,Florida             ,FL,73263,107,119,95,99,114672,114672,36000,36000,29120,29120,(1) Yes,4508932
FL0500700,1,RIVIERA BEACH POLICE DEPT                                                                           ,Riviera Beach                           ,Florida             ,FL,33129,105,35,91,33,94347,141520,51164,71874,38459,54265,(1) Yes,13884829
FL0050900,1,ROCKLEDGE POLICE DEPT                                                                               ,Rockledge                               ,Florida             ,FL,25413,49,16,43,43,80000,88213,49000,59000,35000,54000,(1) Yes,5116500
FL0590500,1,SANFORD POLICE DEPT                                                                                 ,Sanford                                 ,Florida             ,FL,54651,124,19,108,82,73509,117615,46525,64402,36256,50187,(1) Yes,12442508
FL0580000,2,SARASOTA COUNTY SHERIFFS OFFICE                                                                     ,Sarasota                                ,Florida             ,FL,386147,383,510,335,362,143797,143797,60000,78807,40000,60889,(1) Yes,86554672
FL0310200,1,SEBASTIAN POLICE DEPT                                                                               ,Sebastian                               ,Florida             ,FL,22364,35,19,31,33,89000,125000,46890,89094,37147,67092,(1) Yes,4199206
FL0590000,2,SEMINOLE COUNTY SHERIFFS OFFICE                                                                     ,Sanford                                 ,Florida             ,FL,430838,474,643,384,374,147000,147000,42931,68689,36089,63167,(2) No,97184163
FL0520S00,1,SEMINOLE TRIBAL POLICE DEPT                                                                         ,Hollywood                               ,Florida             ,FL,3680,151,80,126,0,102597,102597,55536,55536,43534,43534,(1) Yes,NA
FL0430300,1,SEWALL'S POINT POLICE DEPT                                                                          ,Sewalls Point                           ,Florida             ,FL,2041,9,1,7,9,80000,80000,NA,NA,39125,39125,(1) Yes,NA
FL0550100,1,ST. AUGUSTINE POLICE DEPT                                                                           ,Saint Augustine                         ,Florida             ,FL,13407,50,11,NA,0,NA,NA,NA,NA,NA,NA,(1) Yes,NA
FL0490100,1,ST. CLOUD POLICE DEPT                                                                               ,Saint Cloud                             ,Florida             ,FL,39171,77,36,68,60,69888,128273,48409,74056,38951,59589,(2) No,9023000
FL0550000,2,ST. JOHNS COUNTY SHERIFFS OFFICE                                                                    ,Saint Augustine                         ,Florida             ,FL,202188,265,291,241,239,131340,131340,55485,66677,36050,55125,(2) No,56163187
FL0560000,2,ST. LUCIE COUNTY SHERIFFS OFFICE                                                                    ,Fort Pierce                             ,Florida             ,FL,283866,248,354,211,182,128000,138000,64745,72252,37595,37595,(1) Yes,6.10E+07
FL0521400,1,ST. PETERSBURG POLICE DEPT                                                                          ,St. Petersburg                          ,Florida             ,FL,246541,542,215,455,424,152341,152341,79668,93901,66100,80327,(1) Yes,91713404
FL0430100,1,STUART POLICE DEPT                                                                                  ,Stuart                                  ,Florida             ,FL,15841,41,18,37,36,74534,116323,64186,84967,41176,44626,(1) Yes,5911943
FL0600000,2,SUMTER COUNTY SHERIFFS OFFICE                                                                       ,Bushnell                                ,Florida             ,FL,101620,115,46,108,107,122490,122490,65388,71897,36167,36167,(1) Yes,21398078
FL0062700,1,SUNRISE POLICE DEPT                                                                                 ,Sunrise                                 ,Florida             ,FL,88843,174,85,155,127,160853,172273,70622,99788,57963,81900,(1) Yes,41608572
FL0370300,1,TALLAHASSEE POLICE DEPT                                                                             ,Tallahassee                             ,Florida             ,FL,186971,356,128,286,280,63252,145329,61804,87891,42765,72525,(1) Yes,49622958
FL0290200,1,TAMPA POLICE DEPT                                                                                   ,Tampa                                   ,Florida             ,FL,347645,954,256,801,661,97489,153004,75348,92476,46384,75358,(1) Yes,1.42E+08
FL0521800,1,TARPON SPRINGS POLICE DEPT                                                                          ,Tarpon Springs                          ,Florida             ,FL,23657,48,15,44,40,69552,112050,53930,81091,42510,65262,(1) Yes,6400000
FL0290300,1,TEMPLE TERRACE POLICE DEPT                                                                          ,Temple Terrace                          ,Florida             ,FL,25189,47,17,41,37,91335,91335,59449,91531,46388,71438,(1) Yes,7783908
FL0580200,1,VENICE POLICE DEPT                                                                                  ,Venice                                  ,Florida             ,FL,21054,45,15,40,42,81571,134593,73250,73250,40450,61950,(1) Yes,7789969
FL0640000,2,VOLUSIA COUNTY SHERIFFS DEPT                                                                        ,DeLand                                  ,Florida             ,FL,496950,435,349,392,386,NA,NA,42016,64251,33134,50690,(1) Yes,70029385
FL0660000,2,WALTON COUNTY SHERIFFS DEPT                                                                         ,Defuniak Springs                        ,Florida             ,FL,57582,170,68,148,159,109876,109876,44636,58600,33600,33600,(1) Yes,17377773
FL0670000,2,WASHINGTON COUNTY SHERIFFS DEPT                                                                     ,Chipley                                 ,Florida             ,FL,24892,39,42,34,36,103518,103518,34000,34000,28538,28638,(1) Yes,4045644
FL0500800,1,WEST PALM BEACH POLICE DEPT                                                                         ,West Palm Beach                         ,Florida             ,FL,101903,255,89,228,172,130447,156536,73808,85446,45324,72808,(1) Yes,51364849
FL0531600,1,WINTER HAVEN POLICE DEPT                                                                            ,Winter Haven                            ,Florida             ,FL,34975,79,22,65,64,71240,118726,51105,84364,38168,62982,(1) Yes,10229602
FL0590600,1,WINTER SPRINGS POLICE DEPT                                                                          ,Winter Springs                          ,Florida             ,FL,33540,65,11,56,59,71709,109716,41926,63832,34492,52515,(1) Yes,10848320
GA0470100,1,ALBANY POLICE DEPT                                                                                  ,Albany                                  ,Georgia             ,GA,77431,200,31,165,49,82520,121717,36761,54223,33172,48186,(1) Yes,16771801
GA0030100,1,ALMA POLICE DEPT                                                                                    ,Alma                                    ,Georgia             ,GA,3518,11,2,9,10,60573,60573,33078,33078,28521,29949,(1) Yes,770350
GA0600400,1,ALPHARETTA DEPT OF PUBLIC SAFETY                                                                    ,Alpharetta                              ,Georgia             ,GA,61981,108,33,101,0,NA,NA,54250,85050,36750,66150,(1) Yes,1.00E+07
GA0780400,1,ARCADE POLICE DEPT                                                                                  ,Jefferson                               ,Georgia             ,GA,1760,3,0,2,3,50000,51000,38000,41000,32000,35000,(1) Yes,250000
GA0290100,1,ATHENS-CLARKE COUNTY POLICE DEPT                                                                    ,Athens                                  ,Georgia             ,GA,119133,238,63,211,193,121625,121625,41760,41760,33248,33248,(1) Yes,21700000
GAAPD0000,1,ATLANTA POLICE DEPT                                                                                 ,Atlanta                                 ,Georgia             ,GA,443775,1940,430,1598,721,152011,228016,49553,72345,39327,57417,(1) Yes,168651480
GA0070200,1,AUBURN POLICE DEPT                                                                                  ,Auburn                                  ,Georgia             ,GA,7057,14,6,13,12,59093,87298,37140,54871,32087,47403,(1) Yes,1441328
GA0030000,2,BACON COUNTY SHERIFFS DEPT                                                                          ,Alma                                    ,Georgia             ,GA,11198,11,7,NA,0,NA,NA,NA,NA,NA,NA,(1) Yes,575000
GA0430100,1,BAINBRIDGE DEPT OF PUBLIC SFTY                                                                      ,Bainbridge                              ,Georgia             ,GA,12603,44,3,44,37,75000,83000,42000,45000,23500,32100,(1) Yes,3918000
GA0050000,2,BALDWIN COUNTY SHERIFFS DEPT                                                                        ,Milledgeville                           ,Georgia             ,GA,46367,64,60,51,45,102102,102102,35000,36000,29836,30150,(2) No,7196400
GA0680500,1,BALDWIN POLICE DEPT                                                                                 ,Baldwin                                 ,Georgia             ,GA,3287,8,4,8,7,37440,45760,30794,32869,26208,29811,(1) Yes,750000
GA0070000,2,BARROW COUNTY SHERIFFS OFFICE                                                                       ,Winder                                  ,Georgia             ,GA,70169,128,61,84,82,80316,145000,43500,62500,31333,46000,(1) Yes,12181000
GA0080000,2,BARTOW COUNTY SHERIFFS OFFICE                                                                       ,Cartersville                            ,Georgia             ,GA,100661,220,82,202,207,93824,106000,34278,51688,24835,30514,(1) Yes,19200000
GA0110000,2,BIBB COUNTY SHERIFFS OFFICE                                                                         ,Macon                                   ,Georgia             ,GA,156462,193,145,156,106,80000,137000,33000,62500,30000,58000,(2) No,29673539
GA1440100,1,BLAIRSVILLE POLICE DEPT                                                                             ,Blairsville                             ,Georgia             ,GA,563,7,1,7,6,50000,50000,45000,42000,30000,35000,(1) Yes,345000
GA0550200,1,BLUE RIDGE POLICE DEPT                                                                              ,Blue Ridge                              ,Georgia             ,GA,1269,9,0,9,9,50000,53000,28000,30000,24000,26000,(1) Yes,7.00E+05
GA0170000,2,BURKE COUNTY SHERIFFS OFFICE                                                                        ,Waynesboro                              ,Georgia             ,GA,23125,28,36,25,14,66989,97135,31187,42806,27431,37652,(1) Yes,4526286
GA0190000,2,CALHOUN COUNTY SHERIFFS DEPT                                                                        ,Morgan                                  ,Georgia             ,GA,6504,8,9,3,0,23400,23400,NA,NA,NA,NA,(1) Yes,365000
GA0220000,2,CARROLL COUNTY SHERIFFS DEPT                                                                        ,Carrollton                              ,Georgia             ,GA,111580,107,83,98,102,53000,102000,40200,51000,29800,36000,(2) No,13500000
GA0220100,1,CARROLLTON POLICE DEPT                                                                              ,Carrollton                              ,Georgia             ,GA,24958,63,12,54,59,70075,86108,33134,45190,30283,40518,(2) No,5986182
GA0240000,2,CHARLTON COUNTY SHERIFFS DEPT                                                                       ,Folkston                                ,Georgia             ,GA,13295,22,5,19,17,NA,NA,NA,NA,22890,22890,(2) No,NA
GA1050100,1,CHATSWORTH POLICE DEPT                                                                              ,Chatsworth                              ,Georgia             ,GA,4288,13,1,13,13,NA,NA,NA,NA,NA,NA,(1) Yes,NA
GA0310100,1,CLAYTON COUNTY POLICE DEPT                                                                          ,Jonesboro                               ,Georgia             ,GA,217415,363,99,311,190,96021,144678,45568,68659,37354,56283,(1) Yes,33553781
GA0430300,1,CLIMAX POLICE DEPT                                                                                  ,Climax                                  ,Georgia             ,GA,276,1,0,1,1,28000,30000,NA,NA,NA,NA,(1) Yes,88000
GA0330200,1,COBB COUNTY POLICE DEPT                                                                             ,Marietta                                ,Georgia             ,GA,523193,572,51,534,495,92206,150363,44366,69763,38355,60278,(1) Yes,55420523
GA0340000,2,COFFEE COUNTY SHERIFFS DEPT                                                                         ,Douglas                                 ,Georgia             ,GA,43170,52,63,50,48,78000,78000,29627,32422,27391,29627,(2) No,6746100
GA0600100,1,COLLEGE PARK POLICE DEPT                                                                            ,College Park                            ,Georgia             ,GA,14649,89,27,73,36,77649,77649,45400,45400,39218,39218,(2) No,10200000
GA0350000,2,COLQUITT COUNTY SHERIFFS DEPT                                                                       ,Moultrie                                ,Georgia             ,GA,46137,55,5,52,47,90000,90000,29000,54000,27000,29000,(2) No,6419989
GA1360300,1,COOLIDGE POLICE DEPT                                                                                ,Coolidge                                ,Georgia             ,GA,525,3,0,3,2,48000,50000,NA,NA,NA,NA,(1) Yes,239000
GA0380000,2,COWETA COUNTY SHERIFFS OFFICE                                                                       ,Newnan                                  ,Georgia             ,GA,130929,152,85,137,137,80000,112000,33960,56278,32315,48474,(2) No,16800000
GA1550100,1,DALTON POLICE DEPT                                                                                  ,Dalton                                  ,Georgia             ,GA,33413,76,14,73,73,90979,90979,36234,56618,31179,46592,(1) Yes,6680632
GA0440200,1,DEKALB COUNTY POLICE DEPT                                                                           ,Tucker                                  ,Georgia             ,GA,643808,961,259,818,373,NA,NA,43464,70632,36492,59304,(1) Yes,99177706
GA0680300,1,DEMOREST POLICE DEPT                                                                                ,Demorest                                ,Georgia             ,GA,1959,5,3,5,4,NA,NA,NA,NA,NA,NA,(1) Yes,NA
GA0470000,2,DOUGHERTY COUNTY SHERIFFS OFFICE                                                                    ,Albany                                  ,Georgia             ,GA,94501,110,124,69,34,63566,94350,32106,47654,26413,39204,(1) Yes,16400000
GA0340100,1,DOUGLAS POLICE DEPT                                                                                 ,Douglas                                 ,Georgia             ,GA,11834,34,6,31,28,NA,NA,NA,NA,NA,NA,(1) Yes,3433685
GA0480100,1,DOUGLASVILLE POLICE DEPT                                                                            ,Douglasville                            ,Georgia             ,GA,31269,93,23,82,73,68000,103450,41782,63509,36093,54862,(1) Yes,9750877
GA0490000,2,EARLY COUNTY SHERIFFS DEPT                                                                          ,Blakely                                 ,Georgia             ,GA,10594,21,21,16,14,48048,53820,32082,45552,24024,28392,(2) No,3593060
GA0600200,1,EAST POINT POLICE DEPT                                                                              ,East Point                              ,Georgia             ,GA,35584,117,49,91,40,87016,101500,50543,54820,34500,43882,(2) No,14281290
GA0540000,2,EVANS COUNTY SHERIFFS DEPT                                                                          ,Claxton                                 ,Georgia             ,GA,10689,10,8,10,9,NA,NA,NA,NA,NA,NA,(1) Yes,NA
GA0560000,2,FAYETTE COUNTY SHERIFFS OFFICE                                                                      ,Fayetteville                            ,Georgia             ,GA,107524,145,74,124,129,85000,109000,52436,65486,37111,56468,(1) Yes,16624037
GA0601300,1,FULTON COUNTY POLICE DEPT                                                                           ,Atlanta                                 ,Georgia             ,GA,65727,131,43,87,56,98942,160288,58837,86489,37864,58286,(1) Yes,1.90E+07
GA0690100,1,GAINESVILLE POLICE DEPT                                                                             ,Gainesville                             ,Georgia             ,GA,34786,96,12,88,88,62171,93267,39356,59034,32389,48594,(2) No,8582442
GAGSP0000,3,Georgia Dept. of Public Safety                                                                      ,Atlanta                                 ,Georgia             ,GA,9912411,1051,541,1012,885,53500,220667,43063,75223,32418,56724,(2) No,96042366
GA0650000,2,GRADY COUNTY SHERIFFS DEPT                                                                          ,Cairo                                   ,Georgia             ,GA,25440,17,5,17,12,70000,70000,28000,28000,23000,23000,(1) Yes,3.00E+06
GA1260100,1,GRIFFIN POLICE DEPT                                                                                 ,Griffin                                 ,Georgia             ,GA,23389,92,13,78,73,104000,104000,45760,45760,33280,33280,(1) Yes,8923000
GA0670200,1,GWINNETT COUNTY POLICE DEPT                                                                         ,Lawrenceville                           ,Georgia             ,GA,716824,714,246,657,592,NA,NA,45620,73040,35023,37648,(1) Yes,104635459
GA0690000,2,HALL COUNTY SHERIFFS OFFICE                                                                         ,Gainesville                             ,Georgia             ,GA,185416,292,156,251,259,123313,123313,35202,52803,31928,47892,(2) No,29824123
GA0600300,1,HAPEVILLE POLICE DEPT                                                                               ,Hapeville                               ,Georgia             ,GA,6698,24,13,19,18,69792,97709,42988,60183,37192,52069,(2) No,3704193
GA0710000,2,HARALSON COUNTY SHERIFFS OFFICE                                                                     ,Buchanan                                ,Georgia             ,GA,28400,39,35,33,38,70000,74000,33000,36500,27000,28500,(2) No,1600000
GA0730000,2,HART COUNTY SHERIFFS DEPT                                                                           ,Hartwell                                ,Georgia             ,GA,25518,26,16,25,24,64000,64000,32469,32469,29494,29494,(2) No,1858095
GA0750500,1,HENRY COUNTY POLICE DEPT                                                                            ,McDonough                               ,Georgia             ,GA,173699,255,32,203,212,85480,128220,46603,69905,36524,54786,(1) Yes,17310109
GA1210300,1,HEPHZIBAH POLICE DEPT                                                                               ,Hephzibah                               ,Georgia             ,GA,4021,4,0,3,4,36000,36000,33000,33000,22500,30000,(2) No,3.00E+05
GA0760000,2,HOUSTON COUNTY SHERIFFS DEPT                                                                        ,Warner Robins                           ,Georgia             ,GA,146136,109,204,99,88,135032,135032,35027,56139,32385,51875,(2) No,2.40E+07
GA0780000,2,JACKSON COUNTY SHERIFFS DEPT                                                                        ,Jefferson                               ,Georgia             ,GA,60571,82,86,76,82,90000,90000,37502,37502,35701,35701,(2) No,10726476
GA0790000,2,JASPER COUNTY SHERIFFS OFFICE                                                                       ,Monticello                              ,Georgia             ,GA,13630,18,13,18,12,NA,NA,34747,34747,29484,31668,(1) Yes,2300000
GA0820000,2,JENKINS COUNTY SHERIFFS OFFICE                                                                      ,Millen                                  ,Georgia             ,GA,9897,7,4,6,6,45000,45000,NA,NA,18720,20000,(1) Yes,340000
GA0840000,2,JONES COUNTY SHERIFFS DEPT                                                                          ,Gray                                    ,Georgia             ,GA,28577,55,21,52,45,60000,98000,37500,41000,29000,29000,(2) No,2875009
GA0330600,1,KENNESAW POLICE DEPT                                                                                ,Kennesaw                                ,Georgia             ,GA,30990,53,13,44,44,69003,104586,36312,55036,30056,38667,(2) No,4621273
GA0200100,1,KINGSLAND POLICE DEPT                                                                               ,Kingsland                               ,Georgia             ,GA,16285,45,3,42,43,55000,72000,36000,42000,28000,32000,(1) Yes,2900000
GA0880000,2,LEE COUNTY SHERIFFS OFFICE                                                                          ,Leesburg                                ,Georgia             ,GA,28746,51,30,47,51,86400,86400,31318,31318,28785,28785,(2) No,4500000
GA0880100,1,LEESBURG POLICE DEPT                                                                                ,Leesburg                                ,Georgia             ,GA,2939,11,1,11,10,48000,48000,31000,31000,24000,24000,(1) Yes,730897
GA0920000,2,LOWNDES COUNTY SHERIFFS OFFICE                                                                      ,Valdosta                                ,Georgia             ,GA,114552,139,96,119,68,80819,80819,35214,53582,30365,46203,(2) No,17440132
GA0930000,2,LUMPKIN COUNTY SHERIFFS DEPT                                                                        ,Dahlonega                               ,Georgia             ,GA,30611,62,15,59,62,64000,64000,34617,34617,29850,29850,(1) Yes,5255220
GA0110100,1,MACON POLICE DEPT                                                                                   ,Macon                                   ,Georgia             ,GA,91234,298,79,275,181,99777,99777,37128,37128,30264,30264,(1) Yes,23091950
GA0330300,1,MARIETTA POLICE DEPT                                                                                ,Marietta                                ,Georgia             ,GA,58359,131,31,117,115,91353,137508,46573,68428,36483,53575,(1) Yes,1.30E+07
GA0750100,1,MCDONOUGH PUBLIC SAFETY DEPT                                                                        ,McDonough                               ,Georgia             ,GA,22599,48,11,44,39,72000,109000,38033,61100,34497,52420,(1) Yes,3600000
GA0210100,1,METTER POLICE DEPT                                                                                  ,Metter                                  ,Georgia             ,GA,4172,13,1,13,7,62000,62000,NA,NA,NA,NA,(1) Yes,953590
GA1020000,2,MONROE COUNTY SHERIFFS DEPT                                                                         ,Forsyth                                 ,Georgia             ,GA,26637,57,25,48,42,66989,97135,29702,44948,26395,39936,(2) No,7.00E+06
GA1040000,2,MORGAN COUNTY SHERIFFS OFFICE                                                                       ,Madison                                 ,Georgia             ,GA,17881,26,28,23,22,NA,NA,31153,31153,28064,28064,(1) Yes,3.00E+06
GA0380100,1,NEWNAN POLICE DEPT                                                                                  ,Newnan                                  ,Georgia             ,GA,34174,72,12,65,62,69035,102481,40352,59945,33196,49275,(2) No,5651899
GA1070000,2,NEWTON COUNTY SHERIFFS DEPT                                                                         ,Covington                               ,Georgia             ,GA,101505,148,103,121,106,79000,79000,35590,53418,33211,49861,(1) Yes,8850738
GA0690400,1,OAKWOOD POLICE DEPT                                                                                 ,Oakwood                                 ,Georgia             ,GA,4090,15,1,14,15,63000,89000,38000,49000,30000,45000,(1) Yes,1600000
GA1100000,2,PAULDING COUNTY SHERIFFS OFFICE                                                                     ,Dallas                                  ,Georgia             ,GA,144800,189,56,161,181,80819,80819,35730,55037,30860,47546,(1) Yes,13319620
GA0560200,1,PEACHTREE CITY POLICE DEPT                                                                          ,Peachtree City                          ,Georgia             ,GA,34662,63,5,55,53,67524,108736,41207,66357,33821,54463,(2) No,7260695
GA1130000,2,PIERCE COUNTY SHERIFFS DEPT                                                                         ,Blackshear                              ,Georgia             ,GA,18844,18,12,18,16,NA,NA,NA,NA,NA,NA,NA,NA
GA0440800,1,PINE LAKE POLICE DEPT                                                                               ,Pine Lake                               ,Georgia             ,GA,745,3,1,2,0,NA,NA,NA,NA,NA,NA,(1) Yes,NA
GA1150000,2,POLK COUNTY SHERIFFS OFFICE                                                                         ,Cedartown                               ,Georgia             ,GA,41188,73,3,57,69,50000,80000,30000,36000,27000,34000,(1) Yes,3.00E+06
GA0330800,1,POWDER SPRINGS POLICE DEPT                                                                          ,Powder Springs                          ,Georgia             ,GA,14253,28,3,25,25,87000,96000,39350,39350,36325,36325,(1) Yes,2896462
GA1210000,2,RICHMOND COUNTY SHERIFFS OFFICE                                                                     ,Augusta                                 ,Georgia             ,GA,202587,456,290,419,354,NA,NA,34608,55074,31880,34892,(2) No,57646650
GA1220000,2,ROCKDALE COUNTY SHERIFFS OFFICE                                                                     ,Conyers                                 ,Georgia             ,GA,85820,188,100,146,146,98776,98776,42036,65145,32073,49691,(1) Yes,1.80E+07
GA1150200,1,ROCKMART POLICE DEPT                                                                                ,Rockmart                                ,Georgia             ,GA,4144,17,2,16,16,38000,75000,34000,42000,31750,34000,(1) Yes,1290000
GA0570200,1,ROME POLICE DEPT                                                                                    ,Rome                                    ,Georgia             ,GA,36159,88,13,79,77,59000,98000,33400,54500,29000,46500,(2) No,7243290
GA0600500,1,ROSWELL POLICE DEPT                                                                                 ,Roswell                                 ,Georgia             ,GA,93692,134,18,114,118,89532,143246,45220,72352,36757,56690,(1) Yes,18170498
GA0605600,1,SANDY SPRINGS POLICE DEPT                                                                           ,Sandy Springs                           ,Georgia             ,GA,99419,127,22,118,97,140000,184000,52000,68000,42500,55000,(1) Yes,19284350
GA0170300,1,SARDIS POLICE DEPT                                                                                  ,Sardis                                  ,Georgia             ,GA,989,4,0,4,3,45000,58000,27800,31000,22700,25300,(1) Yes,312682
GA0250300,1,SAVANNAH-CHATHAM METRO POLICE DEPT                                                                  ,Savannah                                ,Georgia             ,GA,142022,608,239,512,377,NA,NA,51780,59484,32460,33204,(1) Yes,68244626
GA1360000,2,THOMAS COUNTY SHERIFFS OFFICE                                                                       ,Thomasville                             ,Georgia             ,GA,44724,46,35,45,38,58458,1.00E+05,30444,47318,27194,42280,(1) Yes,5469000
GA1360100,1,THOMASVILLE POLICE DEPT                                                                             ,Thomasville                             ,Georgia             ,GA,18488,55,5,47,46,77000,92000,41059,55342,28872,31056,(1) Yes,6633269
GA1370100,1,TIFTON POLICE DEPT                                                                                  ,Tifton                                  ,Georgia             ,GA,16672,45,9,38,37,52477,78705,33642,50463,30466,43483,(2) No,4200000
GA1270100,1,TOCCOA POLICE DEPT                                                                                  ,Toccoa                                  ,Georgia             ,GA,8404,30,2,27,26,60800,70000,34800,36000,27040,31033,(1) Yes,2001739
GA1380000,2,TOOMBS COUNTY SHERIFFS OFFICE                                                                       ,Lyons                                   ,Georgia             ,GA,27315,26,48,25,23,64000,73000,28566,31253,25116,29243,(1) Yes,950000
GA1390000,2,TOWNS COUNTY SHERIFFS DEPT                                                                          ,Young Harris                            ,Georgia             ,GA,10495,33,4,25,33,30000,32000,27000,27850,24768,25500,(1) Yes,NA
GA0250600,1,TYBEE ISLAND POLICE DEPT                                                                            ,Tybee Island                            ,Georgia             ,GA,3067,21,15,18,21,78000,78000,40000,40000,33000,33000,(1) Yes,2750000
GA0600600,1,UNION CITY POLICE DEPT                                                                              ,Union City                              ,Georgia             ,GA,20501,56,19,55,40,74055,111082,43833,65749,32754,49131,(2) No,6500000
GA0920100,1,VALDOSTA POLICE DEPT                                                                                ,Valdosta                                ,Georgia             ,GA,57597,135,39,113,101,NA,NA,35772,39097,31779,34779,NA,12540940
GA0220200,1,VILLA RICA POLICE DEPT                                                                              ,Villa Rica                              ,Georgia             ,GA,14226,35,8,28,34,61104,94101,39388,60658,32400,49904,(1) Yes,2847452
GA1470000,2,WALTON COUNTY SHERIFFS DEPT                                                                         ,Monroe                                  ,Georgia             ,GA,84575,180,12,150,110,NA,NA,NA,NA,NA,NA,(1) Yes,NA
GA1480000,2,WARE COUNTY SHERIFFS OFFICE                                                                         ,Waycross                                ,Georgia             ,GA,35821,46,76,41,40,75162,75162,30194,36788,24840,27419,(2) No,NA
GA0760200,1,WARNER ROBINS POLICE DEPT                                                                           ,Warner Robins                           ,Georgia             ,GA,70349,103,37,95,97,99819,99819,39249,52769,30451,30451,(2) No,8998233
GA1080100,1,WATKINSVILLE POLICE DEPT                                                                            ,Watkinsville                            ,Georgia             ,GA,2888,7,0,7,6,35000,55000,29000,39000,28600,39000,(1) Yes,533885
GA1510000,2,WAYNE COUNTY SHERIFFS DEPT                                                                          ,Jesup                                   ,Georgia             ,GA,30305,28,25,26,24,NA,NA,29300,44700,25400,38600,(1) Yes,3945392
GA1410300,1,WEST POINT POLICE DEPT                                                                              ,West Point                              ,Georgia             ,GA,3523,17,6,13,11,54511,82620,35458,53743,29172,44215,(1) Yes,1757330
GA1550000,2,WHITFIELD COUNTY SHERIFFS DEPT                                                                      ,Dalton                                  ,Georgia             ,GA,103359,119,73,105,107,89765,112206,34260,54391,29059,43589,(2) No,11417559
GA1560000,2,WILCOX COUNTY SHERIFFS DEPT                                                                         ,Abbeville                               ,Georgia             ,GA,9068,9,5,8,7,50000,50000,32240,32240,24960,28080,(1) Yes,520000
HI0010000,1,HAWAII COUNTY POLICE DEPT                                                                           ,Hilo                                    ,Hawaii              ,HI,189191,418,128,387,149,87924,87924,65040,113076,51240,80016,(1) Yes,53948484
         ,3,Hawaii Department of Public Safety                                                                  ,Honolulu                                ,Hawaii              ,HI,1385309,290,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,17750998
HI0020000,1,HONOLULU COUNTY POLICE DEPT                                                                         ,Honolulu                                ,Hawaii              ,HI,976372,2076,474,1852,277,137088,143724,65040,87144,53268,76704,(1) Yes,223759296
HI0040000,1,KAUAI COUNTY POLICE DEPT                                                                            ,Lihue                                   ,Hawaii              ,HI,68434,128,65,122,24,114490,114490,62376,87144,51240,51240,(1) Yes,24810858
HI0050000,1,MAUI COUNTY POLICE DEPT                                                                             ,Wailuku                                 ,Hawaii              ,HI,158226,340,108,310,0,135000,135000,62376,62376,51240,51240,(1) Yes,44561556
IA0550100,1,ALGONA POLICE DEPT                                                                                  ,Algona                                  ,Iowa                ,IA,5509,10,7,9,10,66000,66000,53000,53000,38000,38000,(1) Yes,NA
IA0850100,1,AMES POLICE DEPT                                                                                    ,Ames                                    ,Iowa                ,IA,60634,53,16,46,46,84443,131066,57368,84926,47678,62235,(1) Yes,8088077
IA0990200,1,BELMOND POLICE DEPT                                                                                 ,Belmond                                 ,Iowa                ,IA,2348,5,0,5,5,45000,45000,36275,39228,31304,35547,(1) Yes,396000
