ORI9,TYPE,BJS_AGENCYNAME,CITY,STATENAME,STATECODE,POP2012,FTSWORN,FTCIV,PERS_PDSW_MFT,PERS_FTS_WHT,PAY_SAL_EXC_MIN,PAY_SAL_EXC_MAX,PAY_SAL_SGT_MIN,PAY_SAL_SGT_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_OFCR_MAX,PAY_BARG,BDGT_TTL
NB0400000,2,HALL COUNTY SHERIFFS OFFICE                                                                         ,Grand Island                            ,Nebraska            ,NE,60345,31,11,29,31,65120,65120,54703,62108,33134,47987,(1) Yes,2960206
NB0470000,2,HOWARD COUNTY SHERIFFS OFFICE                                                                       ,Saint Paul                              ,Nebraska            ,NE,6336,5,7,5,5,45500,45500,37502,37502,31970,31970,(2) No,526623
NB0540000,2,KNOX COUNTY SHERIFFS DEPT                                                                           ,Center                                  ,Nebraska            ,NE,8573,5,9,5,5,48800,48800,35792,35792,32000,32000,(1) Yes,411165
NB0550100,1,LINCOLN POLICE DEPT                                                                                 ,Lincoln                                 ,Nebraska            ,NE,265404,327,93,277,308,55950,157500,59658,75543,45508,64332,(1) Yes,38033450
NB0580000,2,LOUP COUNTY SHERIFFS DEPT                                                                           ,Taylor                                  ,Nebraska            ,NE,589,1,0,1,0,34500,34500,NA,NA,NA,NA,(2) No,NA
NB0600300,1,MADISON POLICE DEPT                                                                                 ,Madison                                 ,Nebraska            ,NE,2427,4,0,4,4,51050,54160,NA,NA,33800,34840,(1) Yes,270000
NB0590000,2,MCPHERSON COUNTY SHERIFFS DEPT                                                                      ,Tryon                                   ,Nebraska            ,NE,509,1,0,1,1,35390,35390,NA,NA,NA,NA,(1) Yes,41060
NB0790300,1,MITCHELL POLICE DEPT                                                                                ,Mitchell                                ,Nebraska            ,NE,1700,4,0,4,3,38272,38272,NA,NA,24000,24000,(1) Yes,214000
NBNSP0000,3,Nebraska State Patrol                                                                               ,Lincoln                                 ,Nebraska            ,NE,1852866,468,245,441,457,87713,131572,54392,75358,44137,44137,(1) Yes,60535490
NB0510100,1,OGALLALA POLICE DEPT                                                                                ,Ogallala                                ,Nebraska            ,NE,4649,10,1,10,10,49326,70252,35782,50962,30855,43945,(1) Yes,971516
NB0280200,1,OMAHA POLICE DEPT                                                                                   ,Omaha                                   ,Nebraska            ,NE,421570,800,141,676,640,164431,164431,70428,79331,41537,72820,(1) Yes,121748730
NB0700000,2,PIERCE COUNTY SHERIFFS DEPT                                                                         ,Pierce                                  ,Nebraska            ,NE,7166,4,4,4,4,49500,49500,35000,35000,25000,25000,(1) Yes,279000
NB0100300,1,RAVENNA POLICE DEPT                                                                                 ,Ravenna                                 ,Nebraska            ,NE,1383,2,0,2,2,40000,50000,NA,NA,27040,35360,(2) No,3.00E+05
NB0770000,2,SARPY COUNTY SHERIFFS DEPT                                                                          ,Papillion                               ,Nebraska            ,NE,165853,133,67,105,132,110000,114000,61998,78191,41982,64450,(1) Yes,1.80E+07
NB0800100,1,SEWARD POLICE DEPT                                                                                  ,Seward                                  ,Nebraska            ,NE,7043,11,2,10,11,65484,76488,43920,54072,33288,43680,(2) No,9.00E+05
NB0910000,2,WEBSTER COUNTY SHERIFFS DEPT                                                                        ,Red Cloud                               ,Nebraska            ,NE,3725,6,3,5,6,40212,40212,32310,32310,31290,31290,(1) Yes,613830
NB0920000,2,WHEELER COUNTY SHERIFFS DEPT                                                                        ,Bartlett                                ,Nebraska            ,NE,805,2,0,2,2,37992,39360,NA,NA,31272,31272,(2) No,103000
NH0070800,1,BOW POLICE DEPT                                                                                     ,Bow                                     ,New Hampshire       ,NH,7603,13,6,8,13,67000,82000,50000,61000,43000,52000,(2) No,2.00E+06
NH0071600,1,CONCORD POLICE DEPT                                                                                 ,Concord                                 ,New Hampshire       ,NH,42630,80,12,70,80,81200,111900,56056,77500,43600,63200,(1) Yes,10200000
NH0050000,2,GRAFTON COUNTY SHERIFFS DEPT                                                                        ,Grafton                                 ,New Hampshire       ,NH,89181,10,13,10,10,65000,65000,43183,58035,47082,54764,(1) Yes,2417287
NH0072600,1,HENNIKER POLICE DEPT                                                                                ,Henniker                                ,New Hampshire       ,NH,4837,8,1,6,7,60434,81773,53073,71824,45007,59996,(1) Yes,995000
NH0011400,1,LACONIA POLICE DEPT                                                                                 ,Laconia                                 ,New Hampshire       ,NH,16055,38,10,32,38,90000,105000,57158,69534,40830,41371,(1) Yes,4716939
NH0055000,1,LITTLETON POLICE DEPT                                                                               ,Littleton                               ,New Hampshire       ,NH,5935,9,2,9,9,76000,76000,54000,54000,44000,44000,(1) Yes,1300000
NH0063400,1,MANCHESTER POLICE DEPT                                                                              ,Manchester                              ,New Hampshire       ,NH,110209,215,58,198,206,94277,139121,58711,86637,47925,70722,(1) Yes,20570203
NH0011600,1,MEREDITH POLICE DEPT                                                                                ,Meredith                                ,New Hampshire       ,NH,6287,14,4,13,14,70000,91000,49000,65000,43000,53000,(1) Yes,1800000
NH0064600,1,NASHUA POLICE DEPT                                                                                  ,Nashua                                  ,New Hampshire       ,NH,86933,174,62,162,164,124938,124938,77292,77292,48349,48349,(1) Yes,17672990
